subject-id,DSC,ASD,HD95,NSD,model
s0880_femur_left_msk,0.87,1.72,6.4,0.56,UNet
s0880_femur_left_msk,0.87,1.95,6.16,0.49,MultiScale2DPermuteConcat
s0880_femur_left_msk,0.83,2.48,8.06,0.43,TLPredictor
s0880_femur_left_msk,0.83,2.86,8.12,0.48,UNETR
s0880_femur_left_msk,0.82,2.61,8.12,0.43,TwoDPermuteConcat
s0880_femur_right_msk,0.94,0.85,2.45,0.87,AttentionUnet
s0880_femur_right_msk,0.95,0.78,2.83,0.88,UNet
s0880_femur_right_msk,0.87,2.16,6.0,0.54,OneDConcat
s0880_femur_right_msk,0.9,1.5,4.12,0.64,TLPredictor
s0880_femur_right_msk,0.94,0.94,3.0,0.83,TwoDPermuteConcat
s0880_femur_right_msk,0.93,1.0,3.0,0.82,UNETR
s0880_femur_right_msk,0.92,1.26,3.16,0.75,MultiScale2DPermuteConcat
s0428_femur_left_msk,0.93,1.0,3.32,0.81,TwoDPermuteConcat
s0428_femur_left_msk,0.91,1.35,4.12,0.72,OneDConcat
s0428_femur_left_msk,0.91,1.25,3.32,0.74,TLPredictor
s0428_femur_left_msk,0.93,0.95,2.83,0.86,UNet
s0428_femur_left_msk,0.91,1.32,4.12,0.74,UNETR
s0428_femur_left_msk,0.94,0.94,2.83,0.84,AttentionUnet
s0428_femur_left_msk,0.91,1.28,3.32,0.74,MultiScale2DPermuteConcat
s0428_femur_right_msk,0.94,0.8,2.83,0.87,TwoDPermuteConcat
s0428_femur_right_msk,0.94,0.84,2.24,0.89,MultiScale2DPermuteConcat
s0428_femur_right_msk,0.91,1.25,3.46,0.76,TLPredictor
s0428_femur_right_msk,0.95,0.79,2.24,0.92,AttentionUnet
s0428_femur_right_msk,0.93,1.0,3.0,0.82,UNETR
s0428_femur_right_msk,0.89,1.58,4.47,0.66,OneDConcat
s0428_femur_right_msk,0.94,0.85,2.45,0.88,UNet
s0614_femur_left_msk,0.95,0.77,2.24,0.91,UNet
s0614_femur_left_msk,0.94,0.9,2.45,0.88,UNETR
s0614_femur_left_msk,0.92,1.11,3.0,0.79,TLPredictor
s0614_femur_left_msk,0.95,0.76,2.24,0.9,MultiScale2DPermuteConcat
